Fecha,Página,Nombre de host,Nivel de ruta de página 1,Nivel de ruta de página 2,Nivel de ruta de página 3,Nivel de ruta de página 4,Valor de página,Entradas,Entradas/número de páginas vistas,Número de páginas vistas,Páginas/Sesión,Número de páginas vistas únicas,Tiempo en la página,Promedio de tiempo en la página,Salidas,Porcentaje de salidas
20200611,/clientes/agenda/d3/index.asp?lcodigo=0,www.ceramicaitalia.com,/clientes/,/agenda/,/d3/,/index.asp?lcodigo=0,0,3,0.07894736842105263,38,12.666666666666666,32,1166,53,16,0.42105263157894735
20190122,"/Synergy/CuteSoft_Client/CuteEditor/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=0&Type=1218&Resultcols=BacoDiscussions.ID,HID,Subject&Resultformats=0,9,0&IsModal=1",www.ceramicaitalia.com,/Synergy/,/CuteSoft_Client/,/CuteEditor/,"/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=0&Type=1218&Resultcols=BacoDiscussions.ID,HID,Subject&Resultformats=0,9,0&IsModal=1",0,3,1,3,1,3,0,null,3,1
20200622,/clientes/agenda/d3/index.asp?lcodigo=0,www.ceramicaitalia.com,/clientes/,/agenda/,/d3/,/index.asp?lcodigo=0,0,27,0.24545454545454545,110,4.074074074074074,70,15776,190.0722891566265,27,0.24545454545454545
20200606,/clientes/agenda/d3/index.asp?lcodigo=0,www.ceramicaitalia.com,/clientes/,/agenda/,/d3/,/index.asp?lcodigo=0,0,5,0.10416666666666667,48,9.6,30,1470,36.75,8,0.16666666666666666
20180919,/Synergy/CuteSoft_Client/CuteEditor/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=1&Mode=Edit&ID={75d745ff-14ae-4f1a-81f4-bca7b4ef8e60}&ReturnTo=WflRequest.aspx?PSARequestType=0&ReturnTo=WflRequests.aspx&isMER=False&isCPR=False&RQ_Copy=0&RequestID={e53c0b73-e005-443b-97db-cfcf80d97f3f}&HiddenStartTime=00:00:00&BTWSickRequestCompleted=1&NumberFormatMandatory=1&ID={e53c0b73-e005-443b-97db-cfcf80d97f3f}&HiddenCostIncludeVat=0&HiddenStartTimeActual=15:27:00&BTWRequestType=0&NumberFormatGeneral=1&HiddenEndTime=00:00:00&Modifier=6307&RQ_Reopen=0&TimeFormat=0&BCAction=1&tblAttachmentCount=0&HiddenEndTimeActual=00:00:00&Modified=09/19/2018+16:09:06&UseLines=False&EnvAppRoot=http://www.ceramicaitalia.com/synergy&CapacityRequestType=0&IsServiceActivity=False&isHPR=False&isTER=False&bCapacityRequest=0&CopyINeed=0&Status=0&OldStatus=0&HiddenVatAmount=0&HiddenVatPercent=0,www.ceramicaitalia.com,/Synergy/,/CuteSoft_Client/,/CuteEditor/,/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=1&Mode=Edit&ID={75d745ff-14ae-4f1a-81f4-bca7b4ef8e60}&ReturnTo=WflRequest.aspx?PSARequestType=0&ReturnTo=WflRequests.aspx&isMER=False&isCPR=False&RQ_Copy=0&RequestID={e53c0b73-e005-443b-97db-cfcf80d97f3f}&HiddenStartTime=00:00:00&BTWSickRequestCompleted=1&NumberFormatMandatory=1&ID={e53c0b73-e005-443b-97db-cfcf80d97f3f}&HiddenCostIncludeVat=0&HiddenStartTimeActual=15:27:00&BTWRequestType=0&NumberFormatGeneral=1&HiddenEndTime=00:00:00&Modifier=6307&RQ_Reopen=0&TimeFormat=0&BCAction=1&tblAttachmentCount=0&HiddenEndTimeActual=00:00:00&Modified=09/19/2018+16:09:06&UseLines=False&EnvAppRoot=http://www.ceramicaitalia.com/synergy&CapacityRequestType=0&IsServiceActivity=False&isHPR=False&isTER=False&bCapacityRequest=0&CopyINeed=0&Status=0&OldStatus=0&HiddenVatAmount=0&HiddenVatPercent=0,0,3,1,3,1,3,2127,709,0,0
20190225,/biasi/fichas_tecnicas/ftsap/,www.ceramicaitalia.com,/biasi/,/fichas_tecnicas/,/ftsap/,/,0,3,1,3,1,3,0,null,3,1
20181004,"/Synergy/CuteSoft_Client/CuteEditor/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=0&Type=1428&Resultcols=BacoDiscussions.ID,HID,Subject&Resultformats=0,9,0&IsModal=1",www.ceramicaitalia.com,/Synergy/,/CuteSoft_Client/,/CuteEditor/,"/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=0&Type=1428&Resultcols=BacoDiscussions.ID,HID,Subject&Resultformats=0,9,0&IsModal=1",0,3,1,3,1,3,0,null,3,1
20200620,/clientes/agenda/d3/index.asp?lcodigo=0,www.ceramicaitalia.com,/clientes/,/agenda/,/d3/,/index.asp?lcodigo=0,0,16,0.1927710843373494,83,5.1875,54,9442,154.78688524590163,22,0.26506024096385544
20180613,"/Synergy/CuteSoft_Client/CuteEditor/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=0&Type=1418&Resultcols=BacoDiscussions.ID,HID,Subject&Resultformats=0,9,0&IsModal=1",www.ceramicaitalia.com,/Synergy/,/CuteSoft_Client/,/CuteEditor/,"/Template.aspx?Referrer=http://www.ceramicaitalia.com/synergy/docs/DocDocumentEdit.aspx?BCAction=0&Type=1418&Resultcols=BacoDiscussions.ID,HID,Subject&Resultformats=0,9,0&IsModal=1",0,3,0.2727272727272727,11,3.6666666666666665,3,350,43.75,3,0.2727272727272727
20200702,/clientes/agenda/d3/index.asp?lcodigo=0,www.ceramicaitalia.com,/clientes/,/agenda/,/d3/,/index.asp?lcodigo=0,0,11,0.13253012048192772,83,7.545454545454546,70,2327,39.440677966101696,24,0.2891566265060241
