Fecha,Tipo de usuario,Número de sesiones,Días desde la última sesión,Usuarios,% Δ,Usuarios nuevos,% Δ,Sesiones,% Δ,% de nuevas sesiones,% Δ
20200831,Returning Visitor,292,6,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200821,Returning Visitor,3,45,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200815,Returning Visitor,95,1,1,,0,,1,,0,
20200823,Returning Visitor,3,43,1,,0,,1,,0,
20200805,Returning Visitor,2,17,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200823,Returning Visitor,2,95,1,,0,,1,,0,
20200831,Returning Visitor,347,0,1,,0,,1,,0,
20200827,Returning Visitor,34,2,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200808,Returning Visitor,12,4,1,,0,,1,,0,
20200816,Returning Visitor,2,61,1,,0,,1,,0,
20200818,Returning Visitor,20,7,1,,0,,1,,0,
20200806,Returning Visitor,3,145,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200829,Returning Visitor,60,3,1,,0,,1,,0,
20200811,Returning Visitor,2,96,1,,0,,1,,0,
20200820,Returning Visitor,4,61,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200808,Returning Visitor,2,50,1,,0,,1,,0,
20200810,Returning Visitor,375,0,1,,0,,1,,0,
20200819,Returning Visitor,19,15,1,,0,,1,,0,
20200824,Returning Visitor,3,19,1,,0,,1,,0,
20200804,Returning Visitor,322,1,1,,0,,1,,0,
20200814,Returning Visitor,7,23,1,,0,,1,,0,
20200814,Returning Visitor,2,50,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,42,4,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,5,7,1,,0,,1,,0,
20200813,Returning Visitor,98,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200806,Returning Visitor,4,42,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200829,Returning Visitor,18,5,1,,0,,1,,0,
20200825,Returning Visitor,4,85,1,,0,,1,,0,
20200814,Returning Visitor,680,0,1,,0,,1,,0,
20200818,Returning Visitor,238,4,1,,0,,1,,0,
20200813,Returning Visitor,261,0,1,,0,,1,,0,
20200810,Returning Visitor,12,6,1,,0,,1,,0,
20200811,Returning Visitor,292,0,1,,0,,1,,0,
20200814,Returning Visitor,330,0,1,,0,,1,,0,
20200829,Returning Visitor,145,0,1,,0,,1,,0,
20200826,Returning Visitor,2,64,1,,0,,1,,0,
20200813,Returning Visitor,1164,0,1,,0,,1,,0,
20200830,Returning Visitor,104,13,1,,0,,1,,0,
20200831,Returning Visitor,9,11,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200804,Returning Visitor,586,7,1,,0,,1,,0,
20200814,Returning Visitor,332,0,1,,0,,1,,0,
20200823,Returning Visitor,2,87,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,161,0,1,,0,,1,,0,
20200828,Returning Visitor,5,56,1,,0,,1,,0,
20200806,Returning Visitor,30,15,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200812,Returning Visitor,55,0,1,,0,,1,,0,
20200806,Returning Visitor,229,1,1,,0,,1,,0,
20200826,Returning Visitor,18,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200805,Returning Visitor,203,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200818,Returning Visitor,86,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200824,Returning Visitor,239,0,1,,0,,1,,0,
20200828,Returning Visitor,5,19,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200812,Returning Visitor,13,8,1,,0,,1,,0,
20200828,Returning Visitor,32,13,1,,0,,1,,0,
20200831,Returning Visitor,241,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200823,Returning Visitor,2,168,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,142,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,3,66,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200826,Returning Visitor,2,157,1,,0,,1,,0,
20200812,Returning Visitor,4,10,1,,0,,1,,0,
20200810,Returning Visitor,3,70,1,,0,,1,,0,
20200820,Returning Visitor,303,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200825,Returning Visitor,10,52,1,,0,,1,,0,
20200808,Returning Visitor,5,14,1,,0,,1,,0,
20200813,Returning Visitor,33,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200810,Returning Visitor,4,60,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200815,Returning Visitor,2,24,1,,0,,1,,0,
20200812,Returning Visitor,3,69,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200822,Returning Visitor,4,52,1,,0,,1,,0,
20200824,Returning Visitor,4,56,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200823,Returning Visitor,20,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200805,Returning Visitor,93,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,168,0,1,,0,,1,,0,
20200818,Returning Visitor,7,43,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
