Fecha,Consulta de búsqueda,URL visible,URL de destino,ID de cliente de Google Ads,ID de campaña de Google Ads,ID de grupo de anuncios de Google Ads,ID de criterios de Google Ads,ID de creatividad de Google Ads,Recuento de palabras de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20190121,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190122,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190125,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190128,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190129,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190130,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190131,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190205,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190207,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190208,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190209,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190211,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190213,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190213,venta de ceramica,ceramicaitalia.com,https://www.ceramicaitalia.com,7278701116,1469538622,56420119905,171200482,293471266062,3,0,0,0,0,0,null,0,0,0,0,null
20190214,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190215,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190219,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190220,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190225,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20190225,cotizar pisos ceramica,ceramicaitalia.com,https://www.ceramicaitalia.com/,7278701116,1470922941,59879164994,171200482,309840778947,3,0,0,0,0,0,null,0,0,0,0,null
20190226,(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
