Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS),day
2020-01-16,Google Search,Phrase match,19,0,6438.0,338842.10526315786,715.3333333333335,0.4736842105263158,0.0,0.0,0.0,0.0,0.0,Wednesday
2020-01-16,Google Search,Exact match,19,0,17743.0,933842.105263158,2217.875,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,Wednesday
2020-01-16,Search partners,Phrase match,2,0,589.0,294500.0,589.0,0.5,0.0,0.0,0.0,0.0,0.0,Wednesday
2020-01-17,Google Search,Phrase match,17,0,34701.0,2041235.294117647,3855.666666666666,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,Thursday
2020-01-17,Google Search,Exact match,21,0,2855.0,135952.38095238095,713.75,0.19047619047619047,0.0,951.6666666666664,951.6666666666664,0.0,0.0,Thursday
2020-01-18,Google Search,Phrase match,22,0,26662.0,1211909.0909090908,2050.9230769230767,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,Friday
2020-01-18,Search partners,Phrase match,3,0,715.0,238333.33333333328,238.3333333333333,1.0,0.0,0.0,0.0,0.0,0.0,Friday
2020-01-18,Google Search,Exact match,16,0,395.0,24687.5,197.5,0.125,0.0,79.0,79.0,0.0,0.0,Friday
2020-01-19,Google Search,Phrase match,23,0,11397.0,495521.73913043475,1899.5,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,Saturday
2020-01-19,Google Search,Exact match,13,0,4655.0,358076.9230769231,931.0,0.38461538461538464,0.0,931.0,931.0,0.0,0.0,Saturday
2020-01-20,Google Search,Phrase match,25,0,47307.0,1892280.0,3379.071428571429,0.56,0.0,0.0,0.0,0.0,0.0,Sunday
2020-01-20,Google Search,Exact match,10,0,1326.0,132600.0,442.0,0.3,0.0,442.0,442.0,0.0,0.0,Sunday
2020-01-21,Search partners,Phrase match,5,0,521.0,104200.0,521.0,0.2,0.0,0.0,0.0,0.0,0.0,Monday
2020-01-21,Google Search,Exact match,27,0,8745.0,323888.88888888893,1249.2857142857147,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,Monday
2020-01-21,Google Search,Phrase match,24,0,1795.0,74791.66666666669,448.75,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,Monday
2020-01-22,Google Search,Phrase match,30,0,30294.0,1009800.0,1683.0,0.6,0.0,0.0,0.0,0.0,0.0,Tuesday
2020-01-22,Google Search,Exact match,16,0,2841.0,177562.5,568.2,0.3125,0.0,0.0,0.0,0.0,0.0,Tuesday
2020-01-23,Google Search,Exact match,25,0,19093.0,763720.0,1591.083333333333,0.48,0.0,6364.333333333332,6364.333333333332,0.0,0.0,Wednesday
2020-01-23,Google Search,Phrase match,29,0,16611.0,572793.1034482758,1384.25,0.4137931034482759,0.0,0.0,0.0,0.0,0.0,Wednesday
2020-01-24,Search partners,Phrase match,4,0,1457.0,364250.0,1457.0,0.25,0.0,0.0,0.0,0.0,0.0,Thursday
2020-01-24,Google Search,Exact match,22,0,8609.0,391318.1818181818,956.5555555555555,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,Thursday
2020-01-24,Google Search,Phrase match,26,0,29364.0,1129384.6153846157,2258.769230769231,0.5,0.0,0.0,0.0,0.0,0.0,Thursday
