Fecha,Dominio del emplazamiento,Tipo de emplazamiento,URL del emplazamiento,Google Ads: grupo de anuncios,Google Ads: espacio publicitario,Anuncios de vídeo TrueView,Usuarios,Sesiones,Duración media de la sesión,Páginas/Sesión,Número de páginas vistas,Porcentaje de rebote
2020-01-12,mobileapp::2-com.spcomes.pzworld,Automatic placements,mobileapp::2-com.spcomes.pzworld,Italcombos Segmentacion Display,Google Display Network,No,3,8,186.5,1.375,11,0.625
2020-01-10,mobileapp::2-com.teepro.block.puzzle.hexa.tagram,Automatic placements,mobileapp::2-com.teepro.block.puzzle.hexa.tagram,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,msn.com,Automatic placements,www.msn.com/es-co/noticias/colombia/confirman-cuatro-nuevos-casos-de-coronavirus-en-colombia/ar-BB119bKs,Italcombos Segmentacion Display,Google Display Network,No,3,3,6.333333333333332,1.6666666666666667,5,0.0
2020-01-09,mobileapp::2-com.amikulich.babysleep,Automatic placements,mobileapp::2-com.amikulich.babysleep,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.pixel.art.no.color.by.number.paint.draw,Automatic placements,mobileapp::2-com.pixel.art.no.color.by.number.paint.draw,Italcombos Segmentacion Display,Google Display Network,No,5,5,295.6,1.6,8,0.6
2020-01-16,mobileapp::1-1473232934,Automatic placements,mobileapp::1-1473232934,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-12,mobileapp::2-eu.livesport.MisMarcadores_com,Automatic placements,mobileapp::2-eu.livesport.MisMarcadores_com,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.game.candywitch.cookie.stars.free,Automatic placements,mobileapp::2-com.game.candywitch.cookie.stars.free,Italcombos Segmentacion Display,Google Display Network,No,11,11,0.0,1.0,11,1.0
2020-01-05,anonymous.google,Automatic placements,21c2665c9f6e9d8e.anonymous.google,Intensiones Personalizadas- Anuncios html Bohemica web,Google Display Network,No,3,3,0.0,1.6666666666666667,5,0.0
2020-01-13,futbolete.com,Automatic placements,futbolete.com/futbol-colombiano/millonarios-logro-lo-que-tanto-queria-objetivo-cumplido/476924,Italcombos - awareness Html -Impresiones,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.mobirix.zumaking2,Automatic placements,mobileapp::2-com.mobirix.zumaking2,Italcombos Segmentacion Display,Google Display Network,No,19,22,3.1818181818181817,1.0909090909090908,24,0.8636363636363636
2020-01-24,youtube.com,Automatic placements,www.youtube.com/video/*,Sec BAÑO 2020-02-21,Google Display Network,Yes,16,16,161.75,1.6875,27,0.6875
2020-01-11,mobileapp::2-com.sweetfuirt.candy,Automatic placements,mobileapp::2-com.sweetfuirt.candy,Italcombos Segmentacion Display,Google Display Network,No,3,8,0.0,1.0,8,1.0
2020-01-14,mobileapp::2-cbubbles.classic,Automatic placements,mobileapp::2-cbubbles.classic,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-19,mobileapp::2-balls.arcadegame.bricks.breaker.stack.blast.ballz,Automatic placements,mobileapp::2-balls.arcadegame.bricks.breaker.stack.blast.ballz,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-12,cmtv.com.ar,Automatic placements,www.cmtv.com.ar/discos_letras/letra.php,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-15,mobileapp::2-com.robtopx.geometryjumplite,Automatic placements,mobileapp::2-com.robtopx.geometryjumplite,Italcombos Segmentacion Display,Google Display Network,No,3,3,99.66666666666669,1.6666666666666667,5,0.0
2020-01-15,mobileapp::2-com.defch.translateespeng,Automatic placements,mobileapp::2-com.defch.translateespeng,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,linknoticias.info,Automatic placements,linknoticias.info/contenido/1087/casa-salud-y-un-trabajo-digno-exigen-venezolanos-al-gobierno-colombiano,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-15,mobileapp::2-easy.sudoku.puzzle.solver.free,Automatic placements,mobileapp::2-easy.sudoku.puzzle.solver.free,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.bigduckgames.flow,Automatic placements,mobileapp::2-com.bigduckgames.flow,Italcombos Segmentacion Display,Google Display Network,No,22,22,0.0,1.0,22,1.0
2020-01-16,mobileapp::2-com.LoopGames.Solitaire,Automatic placements,mobileapp::2-com.LoopGames.Solitaire,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,caracoltv.com,Automatic placements,www.caracoltv.com/omer/hulya-sospecha-que-omer-es-el-hijo-de-levent-ie5511,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-11,mobileapp::2-com.colure.app.privacygallery,Automatic placements,mobileapp::2-com.colure.app.privacygallery,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
