,dias_primera_compra,dias_ultima_compra,ventas,frecuencia,monto,cluster
108557,-0.5018133326529378,-0.3206692394793799,-0.07839052601966306,-0.3057786575076739,-0.025376375429047773,0
108859,-1.1700957559759002,-1.0023619295444433,-0.041107096686054334,-0.27474624790496555,-0.022555902463668922,0
8792,-0.4414090390096858,-0.25992434630526534,-0.07839052601966306,-0.3057786575076739,-0.024744010235465543,0
10627,1.33140903950417,1.5228900581223193,-0.07839052601966306,-0.3057786575076739,-0.02535405006916808,1
87313,-1.222829663124771,-1.0640710273721152,-0.003823667352445605,-0.26853976598442386,-0.015112232473411856,0
80038,1.9507927489254524,-1.0370732970725087,0.14531004998198932,2.6174743270674536,-0.02287320757855477,3
96276,-1.1384554116865777,-0.9609011294414763,-0.07839052601966306,-0.3057786575076739,-0.02369201577755559,0
41606,-1.2333764445545452,-1.058285799450771,-0.041107096686054334,-0.29957217558713223,-0.02515198681195461,0
3890,-0.4586674086220435,-0.2772800300692981,-0.07839052601966306,-0.3057786575076739,-0.02504670261479744,0
69092,0.6765497925463747,0.38802118088529,-0.003823667352445605,0.7120843774611603,-0.024409297339970253,1
11394,-0.5622176262961898,-0.3814141326534945,-0.07839052601966306,-0.3057786575076739,-0.02214149578352806,0
116216,0.27481329990315917,0.460336529902093,-0.07839052601966306,-0.3057786575076739,-0.02387085366038134,1
31551,1.8520365228102944,2.046453185003973,-0.07839052601966306,-0.3057786575076739,-0.02329678940659692,1
66803,-0.2860837124984664,-0.14036296926415098,-0.003823667352445605,-0.23130087446117384,-0.022865007446370517,0
56886,-0.7232957426781951,-1.0823909157897054,0.10802662064838059,0.27142416110270157,-0.01738379409046537,0
67435,-1.4213009136668846,-1.2453415022409016,-0.07839052601966306,-0.3057786575076739,-0.02389336902332384,0
119346,0.9267961519255615,1.11503148966755,-0.041107096686054334,-0.3057786575076739,-0.024765960589300227,1
35773,0.6669618094283982,-0.30138514640823244,0.03345976198116313,1.549959436734286,-0.017500620973687996,3
84654,0.24317295561383667,0.4285177763346997,-0.07839052601966306,-0.3057786575076739,-0.023876116245213002,1
65725,-0.7645240700854941,-0.5848613145541004,-0.07839052601966306,-0.3057786575076739,-0.024618998220300465,0
59150,-0.3666227706894691,-0.1847163833277902,-0.07839052601966306,-0.3057786575076739,-0.02525412595841428,0
123855,-0.5813935925321428,-0.400698225724642,-0.07839052601966306,-0.3057786575076739,-0.02508855328942074,0
2747,1.8769652789170332,2.071522505996465,-0.07839052601966306,-0.3057786575076739,-0.024934823311328666,1
18431,0.5777935664312167,0.7177791724019119,0.07074319131477186,-0.24992032022279886,-0.0217111388462727,1
122537,-0.6571386591641571,-0.4768703933556745,-0.07839052601966306,-0.3057786575076739,-0.02523059807915025,0
84478,1.3246974513215866,1.5161406255474175,-0.07839052601966306,-0.3057786575076739,-0.024856807053724447,1
25658,0.0005969827290310855,0.18457399898468407,-0.07839052601966306,-0.3057786575076739,-0.025293924099951213,0
106970,1.5394682731642602,-0.9965767016230991,0.03345976198116313,4.082204060315288,-0.02517879224405204,3
93016,-0.4385326440742929,-0.25703173234459326,-0.07839052601966306,-0.3057786575076739,-0.025304211765786035,0
71932,-0.3982631149787915,-0.21846354620229827,-0.041107096686054334,-0.29957217558713223,-0.025360510173303482,0
28693,-0.04254894130186319,0.14118478957460223,-0.07839052601966306,-0.3057786575076739,-0.02079729911538533,0
85305,-0.4423678373214835,-0.26088855095882274,-0.07839052601966306,-0.3057786575076739,-0.025147989247514786,0
